GEFIS_EINHEIT,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,SUBSUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2008,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2009,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2010,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2011,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2012,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2013,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,1,Einheit,2014,BZ8000,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2008,-,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2009,-,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2010,-,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2011,-,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2012,-,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2013,-,null,null
BZ8000,Zürich_Bezirk,Porträt,null,null,null,3,BFS-Nr. / SGEM,2014,-,null,null
BZ8000,Zürich_Bezirk,Jahresrechnung [Fr./Einw.],Erfolgsrechnung,Nettoaufwendungen nach Aufgabenbereichen,null,1122,0 Nettoaufwendungen Behörden und allg. Verwaltung [Fr./Einw.],2008,-10,Fr./Einw.,Franken pro Einwohner
